Estrazione del 2023-08-03
idImpianto;descCarburante;prezzo;isSelf;dtComu
3464;Benzina;2.321;0;02/08/2023 22:00:06
3464;Benzina;2.011;1;02/08/2023 22:00:06
3464;Gasolio;2.179;0;02/08/2023 22:00:06
3464;Gasolio;1.869;1;02/08/2023 22:00:06
3464;Metano;1.489;0;02/08/2023 22:00:06
3464;GPL;0.857;0;02/08/2023 22:00:06
3468;Benzina;1.984;1;02/08/2023 09:55:17
3468;Gasolio;2.031;1;02/08/2023 09:55:17
3468;GPL;0.947;0;02/08/2023 09:55:17
3471;Benzina;2.349;0;02/08/2023 18:30:08
3471;Benzina;1.983;1;02/08/2023 18:30:08
3471;Gasolio;2.237;0;02/08/2023 18:30:08
3471;Gasolio;1.793;1;02/08/2023 18:30:08
3471;Metano;1.599;0;02/08/2023 18:30:08
3471;GPL;0.909;0;02/08/2023 18:30:08
3473;Benzina;2.318;0;02/08/2023 11:00:08
3473;Benzina;1.999;1;02/08/2023 11:00:08
3473;Gasolio;2.188;0;02/08/2023 11:00:08
3473;Gasolio;1.869;1;02/08/2023 11:00:08
3473;Metano;1.456;0;02/08/2023 11:00:08
3473;GPL;0.770;0;02/08/2023 11:00:08
3473;Blue Super;2.478;0;02/08/2023 11:00:08
3473;Blue Super;2.159;1;02/08/2023 11:00:08
3473;Blue Diesel;2.288;0;02/08/2023 11:00:08
3473;Blue Diesel;1.969;1;02/08/2023 11:00:08
3474;Benzina;2.455;0;03/08/2023 01:00:10
3474;Benzina;2.025;1;03/08/2023 01:00:10
3474;Gasolio;2.329;0;03/08/2023 01:00:10
3474;Gasolio;1.899;1;03/08/2023 01:00:10
3486;Benzina;2.383;0;02/08/2023 18:30:09
3486;Benzina;1.997;1;02/08/2023 18:30:09
3486;Gasolio;2.271;0;02/08/2023 18:30:09
3486;Gasolio;1.885;1;02/08/2023 18:30:09
3489;Benzina;2.241;0;02/08/2023 18:30:16
3489;Benzina;1.933;1;02/08/2023 18:30:16
3489;Gasolio;2.122;0;02/08/2023 18:30:16
3489;Gasolio;1.821;1;02/08/2023 18:30:16
3489;GPL;0.979;0;02/08/2023 18:30:16
3492;Benzina;2.319;0;02/08/2023 12:30:08
3492;Benzina;2.039;1;02/08/2023 12:30:08
3492;Gasolio;2.179;0;02/08/2023 12:30:08
3492;Gasolio;1.899;1;02/08/2023 12:30:08
3492;GPL;0.856;0;02/08/2023 12:30:08
3492;Blue Super;2.399;0;02/08/2023 12:30:08
3492;Blue Super;2.189;1;02/08/2023 12:30:08
3492;Blue Diesel;2.279;0;02/08/2023 12:30:08
3492;Blue Diesel;1.999;1;02/08/2023 12:30:08
3493;Benzina;2.199;0;03/08/2023 00:30:01
3493;Benzina;1.989;1;03/08/2023 00:30:01
3493;Gasolio;2.099;0;03/08/2023 00:30:01
3493;Gasolio;1.856;1;03/08/2023 00:30:01
3493;Metano;1.581;0;03/08/2023 00:30:01
3493;GPL;0.827;0;03/08/2023 00:30:01
3493;Blue Super;2.309;0;03/08/2023 00:30:01
3493;Blue Super;2.099;1;03/08/2023 00:30:01
3493;Blue Diesel;2.199;0;03/08/2023 00:30:01
3493;Blue Diesel;1.956;1;03/08/2023 00:30:01
3493;Gasolio Alpino;2.119;0;03/08/2023 00:30:01
3493;Gasolio Alpino;1.849;1;03/08/2023 00:30:01
3503;Benzina;2.236;0;02/08/2023 14:00:05
3503;Benzina;1.986;1;02/08/2023 14:00:05
3503;Gasolio;2.119;0;02/08/2023 14:00:05
3503;Gasolio;1.869;1;02/08/2023 14:00:05
3503;Metano;1.599;0;02/08/2023 14:00:05
3503;GPL;0.889;0;02/08/2023 14:00:05
3503;Hi-Q Diesel;2.369;0;02/08/2023 14:00:05
3503;Hi-Q Diesel;2.169;1;02/08/2023 14:00:05
3503;HiQ Perform+;2.486;0;02/08/2023 14:00:05
3503;HiQ Perform+;2.286;1;02/08/2023 14:00:05
3503;HVO;2.169;1;02/08/2023 14:00:05
3510;Benzina;2.283;0;02/08/2023 17:50:42
3510;Benzina;1.933;1;02/08/2023 17:50:42
3510;Gasolio;2.171;0;02/08/2023 17:50:42
3510;Gasolio;1.821;1;02/08/2023 17:50:42
3510;GPL;0.907;0;02/08/2023 17:50:42
3511;Benzina;2.199;0;02/08/2023 10:30:16
3511;Benzina;1.999;1;02/08/2023 10:30:16
3511;Gasolio;2.099;0;02/08/2023 10:30:16
3511;Gasolio;1.899;1;02/08/2023 10:30:16
3511;Gasolio speciale;2.198;0;02/08/2023 10:30:16
3511;Gasolio speciale;1.998;1;02/08/2023 10:30:16
3512;Benzina;2.199;0;02/08/2023 08:47:39
3512;Benzina;1.989;1;02/08/2023 08:47:39
