HASC_2;NAME_2;Sigla
IT.CH;Chieti;CH
IT.AQ;L'Aquila;AQ
IT.PE;Pescara;PE
IT.TE;Teramo;TE
IT.BB;Bari;BA
IT.BT;Barletta-Andria-Trani;BT
IT.BR;Brindisi;BR
IT.FA;Foggia;FG
IT.LE;Lecce;LE
IT.TA;Taranto;TA
IT.MT;Matera;MT
IT.PZ;Potenza;PZ
IT.CZ;Catanzaro;CZ
IT.CS;Cosenza;CS
IT.KR;Crotone;KR
IT.RC;ReggioDiCalabria;RC
IT.VV;ViboValentia;VV
IT.AV;Avellino;AV
IT.BN;Benevento;BN
IT.CE;Caserta;CE
IT.NA;Napoli;NA
IT.SA;Salerno;SA
IT.BO;Bologna;BO
IT.FE;Ferrara;FE
IT.FO;Forli'-Cesena;FC
IT.MO;Modena;MO
IT.PR;Parma;PR
IT.PC;Piacenza;PC
IT.RA;Ravenna;RA
IT.RE;ReggioNell'Emilia;RE
IT.RN;Rimini;RN
IT.GO;Gorizia;GO
IT.PN;Pordenone;PN
IT.TS;Trieste;TS
IT.UD;Udine;UD
IT.FR;Frosinone;FR
IT.LT;Latina;LT
IT.RI;Rieti;RI
IT.RM;Roma;RM
IT.VT;Viterbo;VT
IT.GE;Genova;GE
IT.IM;Imperia;IM
IT.SP;LaSpezia;SP
IT.SV;Savona;SV
IT.BG;Bergamo;BG
IT.BS;Brescia;BS
IT.CO;Como;CO
IT.CR;Cremona;CR
IT.LC;Lecco;LC
IT.LO;Lodi;LO
IT.MN;Mantua;MN
IT.MA;Milano;MI
IT.MZ;MonzaandBrianza;MB
IT.PV;Pavia;PV
IT.SO;Sondrio;SO
IT.VA;Varese;VA
IT.AN;Ancona;AN
IT.AC;AscoliPiceno;AP
IT.FM;Fermo;FM
IT.MC;Macerata;MC
IT.PS;PesaroEUrbino;PU
IT.CB;Campobasso;CB
IT.IS;Isernia;IS
IT.AL;Alessandria;AL
IT.AT;Asti;AT
IT.BI;Biella;BI
IT.CN;Cuneo;CN
IT.NO;Novara;NO
IT.TO;Torino;TO
IT.VB;Verbano-Cusio-Ossola;VB
IT.VC;Vercelli;VC
IT.CG;Cagliari;CA
IT.CI;Carbonia-Iglesias;CI
IT.MD;MedioCampidano;VS
IT.NR;Nuoro;NU
IT.OG;Ogliastra;OG
IT.OT;Olbia-Tempio;OT
IT.ON;Oristano;OR
IT.SX;Sassari;SS
IT.AG;Agrigento;AG
IT.CL;Caltanissetta;CL
IT.CT;Catania;CT
IT.EN;Enna;EN
IT.ME;Messina;ME
IT.PA;Palermo;PA
IT.RG;Ragusa;RG
IT.SR;Syracuse;SR
IT.TP;Trapani;TP
IT.AR;Arezzo;AR
IT.FI;Florence;FI
IT.GR;Grosseto;GR
IT.LI;Livorno;LI
IT.LU;Lucca;LU
IT.MS;MassaCarrara;MS
IT.PI;Pisa;PI
IT.PT;Pistoia;PT
IT.PO;Prato;PO
IT.SI;Siena;SI
IT.BZ;Bolzano;BZ
IT.TN;Trento;TN
IT.PG;Perugia;PG
IT.TR;Terni;TR
IT.AO;Aosta;AO
IT.BL;Belluno;BL
IT.PD;Padua;PD
IT.RO;Rovigo;RO
IT.TV;Treviso;TV
IT.VE;Venezia;VE
IT.VR;Verona;VR
IT.VI;Vicenza;VI
